"","AND1_AL_S67","AND1_AY_S72","AND2_AL_S68","AND2_AY_S73","AND3_AL_S69","AND3_AY_S74","AND4_AL_S70","AND4_AY_S75","AND5_AL_S71","AND5_AY_S76"
"d__Bacteria; Desulfobacterota; Desulfuromonadia; Bradymonadales; Bradymonadales; Bradymonadales",0,0,0,22,0,0,0,0,0,0
"d__Bacteria; Elusimicrobiota; Elusimicrobia; Elusimicrobiales; Elusimicrobiaceae; Elusimicrobium",17,407,42,0,413,42,6,35,58,13
"d__Bacteria; Elusimicrobiota; Endomicrobia; Endomicrobiales; Endomicrobiaceae; Endomicrobium",0,42,30,0,0,0,0,0,0,0
"d__Bacteria; Fibrobacterota; Fibrobacteria; Fibrobacterales; Fibrobacteraceae; Fibrobacter",206,5,253,21,29,62,140,13,0,0
"d__Bacteria; Firmicutes; Bacilli; Acholeplasmatales; Acholeplasmataceae; Anaeroplasma",974,129,139,474,17,84,18,14,736,99
"d__Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus",81,36,71,86,42,60,34,0,56,65
"d__Bacteria; Firmicutes; Bacilli; Erysipelotrichales; Erysipelatoclostridiaceae; Erysipelatoclostridium",0,0,0,0,0,0,0,0,0,14
"d__Bacteria; Firmicutes; Bacilli; Erysipelotrichales; Erysipelatoclostridiaceae; UCG-004",0,5,0,70,0,117,0,71,0,16
"d__Bacteria; Firmicutes; Bacilli; Erysipelotrichales; Erysipelatoclostridiaceae; uncultured",11,12,0,27,9,125,25,19,0,0
"d__Bacteria; Firmicutes; Bacilli; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix",76,0,16,25,12,0,12,5,0,0
"d__Bacteria; Firmicutes; Bacilli; Erysipelotrichales; Erysipelotrichaceae; Turicibacter",0,0,0,0,8,0,0,0,15,0
"d__Bacteria; Firmicutes; Bacilli; Erysipelotrichales; Erysipelotrichaceae; uncultured",96,35,15,38,12,99,62,45,81,41
"d__Bacteria; Firmicutes; Bacilli; Izemoplasmatales; Izemoplasmatales; Izemoplasmatales",58,562,6,265,4,90,31,168,0,1163
"d__Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Atopostipes",0,0,0,0,0,36,0,0,0,0
