"AND1_AL_S67","AND1_AY_S72","AND2_AL_S68","AND2_AY_S73","AND3_AL_S69","AND3_AY_S74","AND4_AL_S70","AND4_AY_S75","AND5_AL_S71","AND5_AY_S76"
0,0,0,14,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,13
0,225,0,10,0,0,0,0,0,144
94,9439,0,0,0,0,0,0,0,0
0,0,49,0,0,0,0,188,0,0
0,0,0,30,0,73,8,0,0,98
0,48,0,29,0,0,0,0,17,14
0,37,0,0,10,0,5,26,0,0
0,111,0,9,0,52,0,19,0,0
5,0,0,0,0,0,0,0,0,0
0,21,37,11,10,77,13,30,0,0
0,0,0,0,0,0,0,141,0,0
0,0,0,0,0,91,0,0,0,0
0,707,0,105,0,191,0,0,13,463
0,74,0,10,11,0,0,11,0,468
0,8,0,0,0,0,0,0,11,77
0,36,0,60,0,0,0,40,0,0
0,7,0,0,0,0,0,0,0,0
0,0,0,41,0,0,0,0,0,0
0,0,0,0,0,0,77,0,0,0
16,0,515,0,0,295,0,17,0,0
0,0,0,22,0,0,0,0,0,0
0,0,0,0,0,0,49,0,0,0
0,0,0,0,4,0,0,0,0,0
0,0,0,74,0,0,0,0,0,0
0,0,0,0,0,0,0,322,0,0
0,10,0,0,0,0,0,0,0,0
0,0,0,9,0,0,4,0,8,19
0,0,0,21,29,0,0,0,0,0
206,0,253,0,0,0,140,0,0,0
0,5,0,0,0,62,0,13,0,0
0,198,0,30,0,0,0,0,0,0
0,0,0,0,0,24,0,0,0,43
0,26,0,0,0,0,5,0,45,200
0,0,0,0,0,37,0,0,0,0
0,0,0,0,0,0,0,9,0,0
0,0,0,0,0,0,0,0,0,28
0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,16,0,0,0,10
0,0,0,0,2,0,0,0,0,0
0,0,0,0,13,0,0,0,0,0
0,0,0,6,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0
0,0,0,2617,0,0,0,5810,0,0
0,0,61,0,101,0,344,183,0,0
117,51,0,83,0,0,0,0,0,0
62,29,174,0,0,0,43,13,0,0
0,0,0,8,0,0,0,0,0,0
788,0,0,0,0,0,0,0,0,0
